ID,Slug,Name,Sector,Subsector,Province,Location,Stage,CapexCAD,CapexStatus,Buildability,BuildabilityCoverage,Confidence
9cee227e-a79e-555b-ae81-2f6daa24eeca,ghost-river-watercharger-battery-energy-storage,Ghost River WaterCharger Battery Energy Storage,Clean Energy & Grid,Energy Storage,AB,Rocky View County,ANNOUNCED,208400000,REPORTED,20.0,15.0,REPORTED
9fc9e71d-a45d-553b-8406-af9230da651b,roughrider-project,Roughrider Project,Mining & Metals,Mining & mineral development,SK,North Point Landing,ANNOUNCED,755000000,REPORTED,20.0,15.0,REPORTED
a04ee8b8-00e0-5499-b940-b21d80cab84e,back-river-gold-project-goose,Back River Gold Project (Goose),Mining & Metals,Mining & mineral development,NU,Western Nunavut (Kitikmeot region); 110 km southwest of Bathurst Inlet,CONSTRUCTION,610000000,REPORTED,95.0,15.0,REPORTED
a07d914f-891d-58ae-8e53-bb17fd91673e,mcilvenna-bay,McIlvenna Bay,Mining & Metals,Mining & mineral development,SK,65 km W of Creighton,CONSTRUCTION,1082000000,REPORTED,95.0,15.0,REPORTED
a1eae0c1-de02-5eee-8969-c4dcc788bb8d,pointe-du-bois-renewable-energy-project,Pointe du Bois Renewable Energy Project,Clean Energy & Grid,Hydro,MB,Wpg River,CONSTRUCTION,308400000,REPORTED,95.0,15.0,REPORTED
a3323697-b857-5083-926d-8f81c2bbc9e1,sulphate-of-potash-production-upgrade,Sulphate of Potash production upgrade,Mining & Metals,Mining & mineral development,SK,Chaplin SK,CONSTRUCTION,300000000,REPORTED,95.0,15.0,REPORTED
a4c83003-02bb-5c5b-a4ed-6b5d4cde6d1c,kamistiatusset-kami,Kamistiatusset (Kami),Mining & Metals,Mining & mineral development,NL,Labrador West,ANNOUNCED,3864000000,REPORTED,20.0,15.0,REPORTED
a5b013fe-03f9-522e-95f4-9a5701d19217,alderson-solar-power-project,Alderson Solar Power Project,Clean Energy & Grid,Solar,AB,Cypress County,CONSTRUCTION,150000000,REPORTED,95.0,15.0,REPORTED
a6190299-31af-5bbe-8c34-29c2924008b5,new-nuclear-power-plant-darlington-small-modular-reactor-project,New Nuclear Power Plant - Darlington Small Modular Reactor Project,Nuclear & Clean Power,Nuclear,ON,Darlington,CONSTRUCTION,20900000000,REPORTED,95.0,15.0,REPORTED
a631874c-2f64-558c-8bdf-14d0b142530a,pickering-refubrishment-project,Pickering Refubrishment Project,Nuclear & Clean Power,Nuclear,ON,Pickering,ANNOUNCED,6200000000,REPORTED,20.0,15.0,REPORTED
